Network Size	 Learning Rate	 Batch Size	 Lambda	 Momentum	 Epochs	 Time	 Accuracy
[784, 30, 10]	0.1	100	0.0	0.0	30	0	0.57
[784, 30, 10]	0.1	100	0.0	0.1	10	0	0.08
[784, 30, 10]	0.1	100	0.0	0.1	30	0	0.08
[784, 30, 10]	0.1	100	0.0	0.5	10	0	0.08
[784, 30, 10]	0.1	100	0.0	0.5	30	0	0.08
[784, 30, 10]	0.1	100	0.0	0.9	10	0	0.08
[784, 30, 10]	0.1	100	0.0	0.9	30	0	0.08
[784, 30, 10]	0.1	100	0.01	0.0	10	0	0.27
[784, 30, 10]	0.1	100	0.01	0.0	30	0	0.47
[784, 30, 10]	0.1	100	0.01	0.1	10	0	0.08
[784, 30, 10]	0.1	100	0.01	0.1	30	0	0.08
[784, 30, 10]	0.1	100	0.01	0.5	10	0	0.08
[784, 30, 10]	0.1	100	0.01	0.5	30	0	0.08
[784, 30, 10]	0.1	100	0.01	0.9	10	0	0.08
[784, 30, 10]	0.1	100	0.01	0.9	30	0	0.08
[784, 30, 10]	0.1	100	0.1	0.0	10	0	0.13
[784, 30, 10]	0.1	100	0.1	0.0	30	0	0.55
[784, 30, 10]	0.1	100	0.1	0.1	10	0	0.08
[784, 30, 10]	0.1	100	0.1	0.1	30	0	0.08
[784, 30, 10]	0.1	100	0.1	0.5	10	0	0.08
[784, 30, 10]	0.1	100	0.1	0.5	30	0	0.08
[784, 30, 10]	0.1	100	0.1	0.9	10	0	0.08
[784, 30, 10]	0.1	100	0.1	0.9	30	0	0.08
[784, 30, 10]	0.1	100	1.0	0.0	10	0	0.26
[784, 30, 10]	0.1	100	1.0	0.0	30	0	0.44
[784, 30, 10]	0.1	100	1.0	0.1	10	0	0.08
[784, 30, 10]	0.1	100	1.0	0.1	30	0	0.08
[784, 30, 10]	0.1	100	1.0	0.5	10	0	0.08
[784, 30, 10]	0.1	100	1.0	0.5	30	0	0.08
[784, 30, 10]	0.1	100	1.0	0.9	10	0	0.08
[784, 30, 10]	0.1	100	1.0	0.9	30	0	0.08
